,block_number,Ave._Transaction_Size
0,15668000,351.18407960199005
1,15668001,285.6190476190476
2,15668002,365.07567567567565
3,15668003,403.59183673469386
4,15668004,314.9230769230769
5,15668005,408.1710144927536
6,15668006,546.4285714285714
7,15668007,399.89130434782606
8,15668008,384.30091185410333
9,15668009,472.88495575221236
10,15668010,370.35023041474653
11,15668011,312.2105263157895
12,15668012,513.8086956521739
13,15668013,463.64444444444445
14,15668014,1044.7248677248676
15,15668015,250.4090909090909
16,15668016,393.2176308539945
17,15668017,407.0621118012422
18,15668018,412.4054054054054
19,15668019,509.74468085106383
20,15668020,315.9047619047619
21,15668021,461.8333333333333
22,15668022,434.0
23,15668023,529.7783783783784
24,15668024,497.6666666666667
25,15668025,376.14469453376205
26,15668026,422.30827067669173
27,15668027,401.535
28,15668028,789.55
29,15668029,281.0628571428571
30,15668030,464.7910447761194
31,15668031,341.0420168067227
32,15668032,326.27777777777777
33,15668033,440.97333333333336
34,15668034,503.1297297297297
35,15668035,413.0257731958763
36,15668036,350.70454545454544
37,15668037,301.77456647398844
38,15668038,360.11141304347825
39,15668039,365.88990825688074
40,15668040,347.1743772241993
41,15668041,310.8267326732673
42,15668042,422.39130434782606
43,15668043,319.0692307692308
44,15668044,404.77272727272725
45,15668045,1225.9259259259259
46,15668046,592.780612244898
47,15668047,395.3666666666667
48,15668048,316.4
49,15668049,461.4099378881988
50,15668050,299.95
51,15668051,385.7005347593583
52,15668052,284.0175438596491
53,15668053,435.16831683168317
54,15668054,372.1034482758621
55,15668055,341.69209039548025
56,15668056,828.5769230769231
57,15668057,423.03954802259886
58,15668058,235.6764705882353
59,15668059,424.27247191011236
60,15668060,426.2083333333333
61,15668061,495.4006849315069
62,15668062,4295.333333333333
63,15668063,625.4744525547445
64,15668064,476.247311827957
65,15668065,372.11387900355874
66,15668066,425.68055555555554
67,15668067,569.0322580645161
68,15668068,248.7772397094431
69,15668069,424.02392344497605
70,15668070,384.64
71,15668071,398.6217391304348
72,15668072,365.6923076923077
73,15668073,488.6134969325153
74,15668074,381.3003802281369
75,15668075,364.1977186311787
76,15668076,322.0892857142857
77,15668077,362.7355769230769
78,15668078,413.3333333333333
79,15668079,409.9787798408488
80,15668080,417.9496402877698
81,15668081,853.9868421052631
82,15668082,379.69736842105266
83,15668083,319.4173913043478
84,15668084,745.2
85,15668085,346.7166276346604
86,15668086,319.19565217391306
87,15668087,795.6905829596412
88,15668088,391.94520547945206
89,15668089,391.1363636363636
90,15668090,485.0736842105263
91,15668091,412.27329192546586
92,15668092,611.2708333333334
93,15668093,343.6857142857143
94,15668094,491.35153583617745
95,15668095,994.3817204301075
96,15668096,297.8695652173913
97,15668097,461.75250836120404
98,15668098,351.47945205479454
99,15668099,642.6729857819905
100,15668100,779.7603305785124
101,15668101,510.0837438423645
102,15668102,489.56969696969696
103,15668103,591.247572815534
104,15668104,612.6551724137931
105,15668105,450.91735537190084
106,15668106,349.4907975460123
107,15668107,438.9512195121951
108,15668108,392.4725274725275
109,15668109,408.36986301369865
110,15668110,350.36842105263156
111,15668111,369.4114285714286
112,15668112,431.5076923076923
113,15668113,835.1675675675675
114,15668114,456.68148148148146
115,15668115,372.36725663716817
116,15668116,381.14835164835165
117,15668117,490.75
118,15668118,438.35645933014354
119,15668119,394.75581395348837
120,15668120,490.5
121,15668121,347.4378698224852
122,15668122,629.9545454545455
123,15668123,537.0408163265306
124,15668124,443.7685950413223
125,15668125,380.57142857142856
126,15668126,552.1505376344086
127,15668127,403.73720136518773
128,15668128,510.22140221402213
129,15668129,505.3369565217391
130,15668130,440.8225806451613
131,15668131,625.5367847411444
132,15668132,604.8303030303031
133,15668133,607.3846153846154
134,15668134,349.21484375
135,15668135,414.77848101265823
136,15668136,256.17021276595744
137,15668137,441.78968253968253
138,15668138,454.94
139,15668139,396.1098265895954
140,15668140,893.3076923076923
141,15668141,384.44615384615383
142,15668142,443.58496732026146
143,15668143,330.2994350282486
144,15668144,309.6533333333333
145,15668145,499.9633507853403
146,15668146,411.6292517006803
147,15668147,531.6844919786096
148,15668148,553.1801242236024
149,15668149,376.02564102564105
150,15668150,1037.2674418604652
151,15668151,426.8780487804878
152,15668152,550.4606060606061
153,15668153,360.75925925925924
154,15668154,526.9494382022472
155,15668155,354.3724137931035
156,15668156,386.92887029288704
157,15668157,372.8181818181818
158,15668158,338.8787878787879
159,15668159,367.328125
160,15668160,499.1160220994475
161,15668161,504.0827067669173
162,15668162,558.8
163,15668163,325.80357142857144
164,15668164,369.63829787234044
165,15668165,459.9075907590759
166,15668166,329.9583333333333
167,15668167,410.2
168,15668168,419.50972762645915
169,15668169,357.3666666666667
170,15668170,422.0253807106599
171,15668171,326.258064516129
172,15668172,410.3498452012384
173,15668173,348.61682242990656
174,15668174,1066.4240506329113
175,15668175,457.14285714285717
