,block_number,Ave._Transaction_Size
244,15668945,457.84057971014494
245,15668946,607.4411764705883
246,15668947,652.6938775510204
247,15668948,354.2073732718894
248,15668949,382.2450331125828
249,15668950,501.82876712328766
250,15668951,403.8262910798122
251,15668952,488.1736526946108
252,15668953,385.3436123348018
253,15668954,417.8666666666667
254,15668955,362.58
255,15668956,885.04296875
256,15668957,360.10648148148147
257,15668958,451.34831460674155
258,15668959,408.728
259,15668960,366.69897959183675
260,15668961,645.8867924528302
261,15668962,446.88953488372096
262,15668963,421.375
263,15668964,484.625
264,15668965,902.7073170731708
265,15668966,378.02830188679246
266,15668967,219.8181818181818
267,15668968,459.86430678466076
268,15668969,579.5657142857143
269,15668970,422.3279569892473
270,15668971,493.96815286624206
271,15668972,458.027397260274
272,15668973,387.3872832369942
273,15668974,725.1140939597316
274,15668975,284.1363636363636
275,15668976,481.8767772511848
276,15668977,419.72222222222223
277,15668978,706.9555555555555
278,15668979,338.3344262295082
279,15668980,636.7802197802198
280,15668981,420.07438016528926
281,15668982,521.18
282,15668983,480.53205128205127
283,15668984,459.1592039800995
284,15668985,344.155
285,15668986,435.17127071823205
286,15668987,195.67857142857142
287,15668988,561.2730496453901
288,15668989,849.5445026178011
289,15668990,926.3125
290,15668991,354.2375
291,15668992,407.82214765100673
292,15668993,400.64150943396226
293,15668994,430.8095238095238
294,15668995,426.0618181818182
295,15668996,411.9915014164306
296,15668997,506.6424242424242
297,15668998,542.6477272727273
298,15668999,192.3125
299,15669000,259.6063157894737
300,15669001,451.19634703196346
301,15669002,457.9308176100629
302,15669004,379.06060606060606
303,15669005,410.76164383561644
304,15669006,455.41059602649005
305,15669007,3623.125
306,15669008,433.05956112852664
307,15669009,370.4236111111111
308,15669010,350.772972972973
309,15669011,337.890625
310,15669012,474.98578199052133
311,15669013,383.02252252252254
312,15669014,416.0842696629214
313,15669015,406.0144927536232
314,15669016,368.050505050505
315,15669017,351.2757660167131
316,15669018,571.3954545454545
317,15669019,335.2268907563025
318,15669020,415.21259842519686
319,15669021,497.21367521367523
320,15669022,765.5335968379446
321,15669023,337.62068965517244
322,15669024,480.45535714285717
323,15669025,244.0878661087866
324,15669026,862.1651785714286
325,15669027,444.26143790849676
326,15669028,267.3333333333333
327,15669029,339.6025316455696
328,15669030,443.9767441860465
329,15669031,381.45171339563865
330,15669032,377.4095238095238
331,15669033,352.8410256410256
332,15669034,281.9948717948718
333,15669035,345.1521739130435
334,15669037,280.99624060150376
335,15669038,425.27329192546586
336,15669039,508.2083333333333
337,15669040,484.4258064516129
338,15669041,338.6565096952909
339,15669042,621.7872340425532
340,15669043,432.2439024390244
341,15669044,372.3016393442623
342,15669045,789.9411764705883
343,15669046,431.8014184397163
344,15669047,409.7917737789203
345,15669048,296.48571428571427
346,15669049,404.1292517006803
347,15669050,482.56024096385545
348,15669051,1085.9252873563219
349,15669052,801.542372881356
350,15669053,368.67808219178085
351,15669054,247.9349593495935
352,15669055,441.13270142180096
353,15669056,350.5126050420168
354,15669057,228.0
355,15669058,258.19117647058823
356,15669059,283.25062656641603
357,15669060,444.74342105263156
358,15669061,375.792
359,15669062,263.73489932885906
360,15669063,241.2
361,15669064,428.5409836065574
362,15669065,1027.2063492063492
363,15669066,314.50943396226415
364,15669067,337.07365439093485
365,15669068,268.89285714285717
366,15669069,351.1843971631206
367,15669070,422.6779661016949
368,15669071,323.94594594594594
369,15669072,580.8283582089553
370,15669073,269.6031746031746
371,15669074,391.46285714285716
372,15669075,402.3738738738739
373,15669076,384.6578947368421
374,15669077,329.47236180904525
375,15669078,387.79661016949154
376,15669079,312.74444444444447
377,15669080,316.304932735426
378,15669081,276.1707317073171
379,15669082,280.23655913978496
380,15669083,387.0945945945946
381,15669084,327.0486486486486
382,15669085,263.29605263157896
383,15669086,1004.3953488372093
384,15669087,253.15028901734104
385,15669088,447.69849246231155
386,15669089,308.44871794871796
387,15669090,286.69282511210764
388,15669091,282.43119266055044
389,15669092,346.70103092783506
390,15669093,1491.826923076923
391,15669094,483.1121495327103
392,15669095,274.5810810810811
393,15669096,550.9781420765028
394,15669097,618.6677966101695
395,15669098,407.8143459915612
396,15669099,371.99367088607596
397,15669100,249.93862815884478
398,15669101,321.18772563176896
399,15669102,316.13953488372096
400,15669103,299.38709677419354
401,15669104,223.91717791411043
402,15669105,353.70848708487085
403,15669106,328.0511363636364
404,15669107,550.387323943662
405,15669108,301.05454545454546
406,15669109,244.74025974025975
407,15669110,548.132911392405
408,15669111,347.64918032786886
409,15669112,371.9509202453988
410,15669113,311.248427672956
411,15669114,179.32835820895522
412,15669115,402.68283582089555
413,15669116,331.87659574468086
414,15669117,366.09090909090907
415,15669118,389.26234567901236
416,15669119,235.88095238095238
417,15669120,324.326359832636
418,15669121,700.5
419,15669122,381.51644736842104
420,15669123,198.48275862068965
421,15669124,300.68510638297874
422,15669125,323.46478873239437
423,15669126,296.4651162790698
424,15669127,391.17
425,15669128,294.885593220339
426,15669129,320.4418604651163
427,15669130,270.4710424710425
428,15669131,634.5223880597015
429,15669132,303.6038338658147
430,15669133,408.3276836158192
431,15669134,347.97109826589593
432,15669135,386.07086614173227
433,15669136,359.5308056872038
434,15669137,267.5
435,15669138,165.59375
436,15669139,298.65159574468083
437,15669140,517.3333333333334
438,15669141,767.6346863468634
439,15669142,464.55223880597015
440,15669143,325.31666666666666
441,15669144,579.4965517241379
442,15669145,299.644578313253
443,15669146,370.97857142857146
444,15669147,372.90751445086704
445,15669148,469.6136363636364
446,15669149,365.5845272206304
447,15669150,372.73118279569894
448,15669151,313.96774193548384
449,15669152,353.87351778656125
450,15669153,366.64285714285717
451,15669154,406.709375
452,15669155,342.9579831932773
453,15669156,945.75
454,15669157,416.2579617834395
455,15669158,274.312925170068
456,15669159,288.4552845528455
457,15669160,284.02777777777777
458,15669161,296.6689189189189
459,15669162,286.714859437751
460,15669163,290.58273381294964
461,15669164,322.1034482758621
462,15669165,376.55555555555554
463,15669166,315.40816326530614
464,15669167,700.6804733727811
465,15669168,400.5826086956522
466,15669169,461.5967741935484
467,15669170,361.450184501845
468,15669171,349.8279569892473
469,15669172,505.2817679558011
470,15669173,232.96707818930042
471,15669174,255.36820083682008
472,15669175,299.80555555555554
473,15669176,334.81944444444446
474,15669177,463.1135531135531
475,15669178,233.33704735376045
476,15669179,379.7244897959184
477,15669180,321.7823834196891
478,15669181,282.03225806451616
479,15669182,313.35915492957747
480,15669183,212.73408239700373
481,15669184,331.3488372093023
482,15669185,297.7128205128205
483,15669186,231.52272727272728
484,15669187,199.26175869120655
485,15669188,172.31428571428572
486,15669189,308.60845070422533
487,15669190,405.5235294117647
488,15669191,266.34982332155477
489,15669192,265.9032258064516
490,15669193,366.66550522648083
491,15669194,247.33955223880596
492,15669195,341.32211538461536
493,15669196,316.6
494,15669197,371.8273381294964
495,15669198,578.6666666666666
496,15669199,204.18303571428572
497,15669200,275.77936962750715
498,15669201,673.9538461538461
499,15669202,216.46923076923076
500,15669203,969.7339055793991
501,15669204,276.6826923076923
502,15669205,416.8181818181818
503,15669206,376.5217391304348
504,15669207,295.3532608695652
505,15669208,297.43575418994413
506,15669209,351.63358778625957
507,15669210,298.9940119760479
508,15669211,246.17407407407407
509,15669212,286.1515151515151
510,15669213,545.5531914893617
511,15669214,200.9984544049459
512,15669215,325.77408637873754
513,15669216,333.0
514,15669217,300.19596541786746
515,15669218,379.03973509933775
516,15669219,339.27472527472526
517,15669220,299.9259259259259
518,15669221,252.08937198067633
519,15669222,256.70866141732284
520,15669223,248.975
521,15669224,491.78391959798995
522,15669225,263.29460580912865
523,15669226,382.8193277310924
524,15669227,798.5913978494624
525,15669228,349.377245508982
526,15669229,331.07142857142856
527,15669230,337.53097345132744
528,15669231,331.038961038961
529,15669232,425.61538461538464
530,15669233,277.46478873239437
531,15669234,297.77824267782427
532,15669235,324.8867924528302
533,15669236,371.488
534,15669237,294.01762114537445
535,15669238,246.52083333333334
536,15669239,322.87543252595157
537,15669240,305.77777777777777
538,15669241,474.921146953405
539,15669242,229.20833333333334
540,15669243,418.4092409240924
541,15669244,257.38
542,15669245,307.5282608695652
543,15669246,284.0181818181818
544,15669247,218.26956521739132
545,15669248,355.5637254901961
546,15669249,287.02
547,15669250,282.6296296296296
548,15669251,369.9609756097561
549,15669252,474.1900826446281
550,15669253,685.6212121212121
551,15669254,585.4276315789474
552,15669255,1091.857142857143
553,15669256,293.64931506849314
554,15669257,351.2173913043478
555,15669258,880.9593023255813
556,15669259,398.3953488372093
557,15669260,467.12422360248445
558,15669261,562.6255707762557
559,15669262,238.96666666666667
560,15669263,314.5635738831615
561,15669264,472.536231884058
562,15669265,263.2857142857143
563,15669266,363.6522911051213
564,15669267,461.5652173913044
565,15669268,325.3591836734694
566,15669269,528.8636363636364
567,15669270,363.1509433962264
568,15669271,277.3125
569,15669272,274.4700460829493
570,15669273,490.2608695652174
571,15669274,262.88121546961327
572,15669275,463.235807860262
573,15669276,322.04347826086956
574,15669277,361.53061224489795
575,15669278,292.63576158940396
576,15669279,297.1083916083916
577,15669280,252.6060606060606
578,15669281,467.9404761904762
579,15669282,383.9024390243902
580,15669283,333.76377952755905
581,15669284,392.55121951219513
582,15669285,331.4017857142857
583,15669286,394.8
584,15669287,443.6288088642659
585,15669288,540.7874015748032
586,15669289,348.9166666666667
587,15669290,348.66357308584685
588,15669291,389.4496644295302
589,15669292,509.19463087248323
590,15669293,391.65
591,15669294,778.459807073955
592,15669295,352.2881355932203
593,15669296,486.03973509933775
594,15669297,751.7619047619048
595,15669298,288.9881796690307
596,15669299,394.140243902439
597,15669300,509.4143302180685
598,15669301,286.5806451612903
599,15669302,316.64204545454544
600,15669303,378.7286432160804
601,15669304,952.5227272727273
602,15669305,355.8589420654912
603,15669306,301.25129533678756
604,15669307,378.32462686567163
605,15669308,776.1159420289855
606,15669309,717.1694915254237
607,15669310,283.66733067729086
608,15669311,310.0984848484849
609,15669312,286.6304347826087
610,15669313,557.3458646616541
611,15669314,389.08024691358025
612,15669315,303.27272727272725
613,15669316,504.7579617834395
614,15669317,431.4357142857143
615,15669318,271.46120689655174
616,15669319,551.6754966887418
617,15669320,254.2625
618,15669321,351.70588235294116
619,15669322,208.21983914209116
620,15669323,781.1428571428571
621,15669324,377.7241379310345
622,15669325,208.5909090909091
623,15669326,449.66425992779784
624,15669327,427.16184971098266
625,15669328,429.9039548022599
626,15669329,410.40372670807454
627,15669330,317.544
628,15669331,395.3538461538462
629,15669332,537.2571428571429
630,15669333,373.44919786096256
631,15669334,388.5777777777778
632,15669335,321.83216783216784
633,15669336,575.8415300546449
634,15669337,308.4909090909091
635,15669338,665.0620689655173
636,15669339,374.2692307692308
637,15669340,303.5075376884422
638,15669341,491.4887892376682
639,15669342,267.6666666666667
640,15669343,342.65676567656766
641,15669344,683.0068493150685
642,15669345,496.84177215189874
643,15669346,540.3684210526316
644,15669347,536.6690909090909
645,15669348,460.7345679012346
646,15669349,713.2844827586207
647,15669350,429.67391304347825
648,15669351,546.0
649,15669352,378.4981132075472
650,15669353,448.3125
651,15669354,478.3958333333333
652,15669355,615.3458333333333
653,15669356,398.4203821656051
654,15669357,873.8323353293413
655,15669358,384.20952380952383
656,15669359,327.2953020134228
657,15669360,696.1034482758621
658,15669361,456.87603305785126
659,15669362,732.929347826087
660,15669363,402.3205128205128
661,15669364,725.96
662,15669365,379.54846335697397
663,15669366,381.9872340425532
664,15669367,516.1224489795918
665,15669368,460.5962441314554
666,15669369,384.5342465753425
667,15669370,500.496
668,15669371,374.9261363636364
669,15669372,296.70873786407765
670,15669373,732.2558139534884
671,15669374,263.5964912280702
672,15669375,343.0
673,15669376,584.1139240506329
674,15669377,387.28515625
675,15669378,356.4854368932039
676,15669379,562.5735294117648
677,15669380,164.75
678,15669381,390.632
679,15669382,382.97714285714284
680,15669383,305.3103448275862
681,15669384,601.4110671936759
682,15669385,456.7642276422764
683,15669386,813.5714285714286
684,15669387,438.9881305637982
685,15669388,1082.5094339622642
686,15669389,405.0104166666667
687,15669390,418.3953488372093
688,15669391,293.6268656716418
689,15669392,390.9556213017751
690,15669393,668.6616541353384
691,15669394,373.7178217821782
692,15669395,337.3636363636364
693,15669396,349.79864253393663
694,15669397,344.13653136531366
695,15669398,469.1190476190476
696,15669399,615.7
697,15669400,411.8695652173913
698,15669401,407.9662162162162
699,15669402,462.158273381295
700,15669403,457.57894736842104
701,15669404,309.44444444444446
702,15669405,500.9079754601227
703,15669406,369.86547085201795
704,15669407,604.1027190332326
705,15669408,536.4377224199288
706,15669409,650.8454545454546
707,15669410,370.13513513513516
708,15669411,433.135593220339
709,15669412,416.2514619883041
710,15669413,428.9578947368421
711,15669414,502.4842105263158
712,15669415,481.61842105263156
713,15669416,418.66257668711654
714,15669417,594.6026490066225
715,15669418,394.92857142857144
716,15669419,404.5247524752475
717,15669420,569.0858895705521
718,15669421,305.1736842105263
719,15669422,348.3225806451613
720,15669423,1190.563025210084
721,15669424,458.70168067226894
722,15669425,358.9955947136564
723,15669426,253.07291666666666
724,15669427,449.7755102040816
725,15669428,509.6484375
726,15669429,450.65584415584414
727,15669430,372.94117647058823
728,15669431,396.4741935483871
729,15669432,273.5833333333333
730,15669433,411.6864864864865
731,15669434,307.5435684647303
732,15669435,304.5762711864407
733,15669436,522.7795275590552
734,15669437,339.5833333333333
735,15669438,730.3670411985019
736,15669439,649.5588235294117
737,15669440,492.6290909090909
738,15669441,446.63380281690144
739,15669442,562.5590551181102
740,15669443,449.9824561403509
741,15669444,329.4347826086956
742,15669445,404.36170212765956
743,15669446,409.3157894736842
744,15669447,372.41970802919707
745,15669448,433.6280487804878
746,15669449,402.04347826086956
747,15669450,372.92248062015506
748,15669451,291.28052805280527
749,15669452,603.5774647887324
750,15669453,330.3917525773196
751,15669454,357.1363636363636
752,15669455,343.83185840707966
753,15669456,299.4347826086956
754,15669457,1095.0666666666666
755,15669458,621.71974522293
756,15669459,368.171875
757,15669460,367.0652173913044
758,15669461,572.8039215686274
759,15669462,480.18934911242604
760,15669463,608.2411764705882
761,15669464,360.6264367816092
762,15669465,306.77272727272725
763,15669466,719.20796460177
764,15669467,620.0078125
765,15669468,534.1818181818181
766,15669469,492.0
767,15669470,442.42857142857144
768,15669471,352.1636363636364
769,15669472,509.8907284768212
770,15669473,644.0408163265306
771,15669474,368.4916666666667
772,15669475,450.1726618705036
773,15669476,509.40645161290325
774,15669477,451.8285714285714
775,15669478,1327.6306306306305
776,15669479,447.88
777,15669480,432.2124542124542
778,15669481,439.5776397515528
779,15669482,559.3149606299213
780,15669483,491.4723926380368
781,15669484,412.495867768595
782,15669485,405.1707317073171
783,15669486,420.35759493670884
784,15669487,505.0779220779221
785,15669488,452.08620689655174
786,15669489,543.8731884057971
787,15669490,1247.0816326530612
788,15669491,333.29906542056074
789,15669492,673.8203883495146
790,15669493,391.38028169014086
791,15669494,467.6307692307692
792,15669495,497.3312883435583
793,15669496,470.7606837606838
794,15669497,556.7362637362637
795,15669498,478.8689655172414
796,15669499,529.9583333333334
797,15669500,542.27950310559
798,15669501,406.6666666666667
799,15669502,461.0731707317073
800,15669503,712.9666666666667
801,15669504,482.6046511627907
802,15669505,567.8529411764706
803,15669506,241.39743589743588
804,15669507,412.5065359477124
805,15669508,463.45081967213116
806,15669509,511.1292134831461
807,15669510,450.25
808,15669511,537.6102564102564
809,15669512,349.4117647058824
810,15669513,441.24931506849316
811,15669514,757.71875
812,15669515,458.3787878787879
813,15669516,396.7
814,15669517,874.3296703296703
815,15669518,313.8837209302326
816,15669519,550.0608365019011
817,15669520,320.53932584269666
818,15669521,438.5983935742972
819,15669522,281.31666666666666
820,15669524,311.7564102564103
821,15669525,386.2936507936508
822,15669526,363.56830601092895
823,15669527,346.5974842767296
824,15669528,471.1730769230769
825,15669529,419.22093023255815
826,15669530,302.52462526766595
827,15669531,478.6168831168831
828,15669532,326.0391061452514
829,15669533,203.42307692307693
830,15669534,463.1190476190476
831,15669535,428.93055555555554
832,15669536,283.8205128205128
833,15669537,282.3897435897436
834,15669538,343.16725978647685
835,15669539,361.7826086956522
836,15669540,378.91011235955057
837,15669541,538.2903225806451
838,15669542,475.42857142857144
839,15669543,266.05434782608694
840,15669544,420.0224215246637
841,15669545,362.1101449275362
842,15669546,1119.5
843,15669547,445.5
844,15669548,366.0551181102362
845,15669549,373.66037735849056
846,15669550,305.37931034482756
847,15669551,437.2698961937716
848,15669552,247.77358490566039
