,block_number,Ave._Transaction_Size
75,15669077,329.47236180904525
76,15669078,387.79661016949154
77,15669079,312.74444444444447
78,15669080,316.304932735426
79,15669081,276.1707317073171
80,15669082,280.23655913978496
81,15669083,387.0945945945946
82,15669084,327.0486486486486
83,15669085,263.29605263157896
84,15669086,1004.3953488372093
85,15669087,253.15028901734104
86,15669088,447.69849246231155
87,15669089,308.44871794871796
88,15669090,286.69282511210764
89,15669091,282.43119266055044
90,15669092,346.70103092783506
91,15669093,1491.826923076923
92,15669094,483.1121495327103
93,15669095,274.5810810810811
94,15669096,550.9781420765028
95,15669097,618.6677966101695
96,15669098,407.8143459915612
97,15669099,371.99367088607596
98,15669100,249.93862815884478
99,15669101,321.18772563176896
100,15669102,316.13953488372096
101,15669103,299.38709677419354
102,15669104,223.91717791411043
103,15669105,353.70848708487085
104,15669106,328.0511363636364
105,15669107,550.387323943662
106,15669108,301.05454545454546
107,15669109,244.74025974025975
108,15669110,548.132911392405
109,15669111,347.64918032786886
110,15669112,371.9509202453988
111,15669113,311.248427672956
112,15669114,179.32835820895522
113,15669115,402.68283582089555
114,15669116,331.87659574468086
115,15669117,366.09090909090907
116,15669118,389.26234567901236
117,15669119,235.88095238095238
118,15669120,324.326359832636
119,15669121,700.5
120,15669122,381.51644736842104
121,15669123,198.48275862068965
122,15669124,300.68510638297874
123,15669125,323.46478873239437
124,15669126,296.4651162790698
125,15669127,391.17
126,15669128,294.885593220339
127,15669129,320.4418604651163
128,15669130,270.4710424710425
129,15669131,634.5223880597015
130,15669132,303.6038338658147
131,15669133,408.3276836158192
132,15669134,347.97109826589593
133,15669135,386.07086614173227
134,15669136,359.5308056872038
135,15669137,267.5
136,15669138,165.59375
137,15669139,298.65159574468083
138,15669140,517.3333333333334
139,15669141,767.6346863468634
140,15669142,464.55223880597015
141,15669143,325.31666666666666
142,15669144,579.4965517241379
143,15669145,299.644578313253
144,15669146,370.97857142857146
145,15669147,372.90751445086704
146,15669148,469.6136363636364
147,15669149,365.5845272206304
148,15669150,372.73118279569894
149,15669151,313.96774193548384
150,15669152,353.87351778656125
151,15669153,366.64285714285717
152,15669154,406.709375
153,15669155,342.9579831932773
154,15669156,945.75
155,15669157,416.2579617834395
156,15669158,274.312925170068
157,15669159,288.4552845528455
158,15669160,284.02777777777777
159,15669161,296.6689189189189
160,15669162,286.714859437751
161,15669163,290.58273381294964
162,15669164,322.1034482758621
163,15669165,376.55555555555554
164,15669166,315.40816326530614
165,15669167,700.6804733727811
166,15669168,400.5826086956522
167,15669169,461.5967741935484
168,15669170,361.450184501845
169,15669171,349.8279569892473
170,15669172,505.2817679558011
171,15669173,232.96707818930042
172,15669174,255.36820083682008
173,15669175,299.80555555555554
174,15669176,334.81944444444446
175,15669177,463.1135531135531
176,15669178,233.33704735376045
177,15669179,379.7244897959184
178,15669180,321.7823834196891
179,15669181,282.03225806451616
180,15669182,313.35915492957747
181,15669183,212.73408239700373
182,15669184,331.3488372093023
183,15669185,297.7128205128205
184,15669186,231.52272727272728
185,15669187,199.26175869120655
186,15669188,172.31428571428572
187,15669189,308.60845070422533
188,15669190,405.5235294117647
189,15669191,266.34982332155477
190,15669192,265.9032258064516
191,15669193,366.66550522648083
192,15669194,247.33955223880596
193,15669195,341.32211538461536
194,15669196,316.6
195,15669197,371.8273381294964
196,15669198,578.6666666666666
197,15669199,204.18303571428572
198,15669200,275.77936962750715
199,15669201,673.9538461538461
200,15669202,216.46923076923076
201,15669203,969.7339055793991
202,15669204,276.6826923076923
203,15669205,416.8181818181818
204,15669206,376.5217391304348
205,15669207,295.3532608695652
206,15669208,297.43575418994413
207,15669209,351.63358778625957
208,15669210,298.9940119760479
209,15669211,246.17407407407407
210,15669212,286.1515151515151
211,15669213,545.5531914893617
212,15669214,200.9984544049459
213,15669215,325.77408637873754
214,15669216,333.0
215,15669217,300.19596541786746
216,15669218,379.03973509933775
217,15669219,339.27472527472526
218,15669220,299.9259259259259
219,15669221,252.08937198067633
220,15669222,256.70866141732284
221,15669223,248.975
222,15669224,491.78391959798995
223,15669225,263.29460580912865
224,15669226,382.8193277310924
225,15669227,798.5913978494624
226,15669228,349.377245508982
227,15669229,331.07142857142856
228,15669230,337.53097345132744
229,15669231,331.038961038961
230,15669232,425.61538461538464
231,15669233,277.46478873239437
232,15669234,297.77824267782427
233,15669235,324.8867924528302
234,15669236,371.488
235,15669237,294.01762114537445
236,15669238,246.52083333333334
237,15669239,322.87543252595157
238,15669240,305.77777777777777
239,15669241,474.921146953405
240,15669242,229.20833333333334
241,15669243,418.4092409240924
242,15669244,257.38
243,15669245,307.5282608695652
244,15669246,284.0181818181818
245,15669247,218.26956521739132
246,15669248,355.5637254901961
247,15669249,287.02
248,15669250,282.6296296296296
249,15669251,369.9609756097561
250,15669252,474.1900826446281
251,15669253,685.6212121212121
252,15669254,585.4276315789474
253,15669255,1091.857142857143
254,15669256,293.64931506849314
255,15669257,351.2173913043478
256,15669258,880.9593023255813
257,15669259,398.3953488372093
258,15669260,467.12422360248445
259,15669261,562.6255707762557
260,15669262,238.96666666666667
261,15669263,314.5635738831615
